Country,Year,countrycode,swap.size,net.draw,outstanding
Albania,2008,ALB,0,0,0
Albania,2009,ALB,0,0,0
Albania,2010,ALB,0,0,0
Albania,2011,ALB,0,0,0
Albania,2012,ALB,0,0,0
Albania,2013,ALB,2000000000,0,0
Albania,2014,ALB,2000000000,0,0
Albania,2015,ALB,2000000000,0,0
Albania,2016,ALB,2000000000,0,0
Albania,2017,ALB,0,0,0
Albania,2018,ALB,2000000000,0,0
Albania,2019,ALB,2000000000,0,0
Albania,2020,ALB,2000000000,0,0
Albania,2021,ALB,2000000000,0,0
Argentina,2008,ARG,0,0,0
Argentina,2009,ARG,70000000000,0,0
Argentina,2010,ARG,70000000000,0,0
Argentina,2011,ARG,70000000000,0,0
Argentina,2012,ARG,70000000000,0,0
Argentina,2013,ARG,0,0,0
Argentina,2014,ARG,70000000000,14200000000,14200000000
Argentina,2015,ARG,70000000000,55800000000,70000000000
Argentina,2016,ARG,70000000000,0,70000000000
Argentina,2017,ARG,70000000000,0,70000000000
Argentina,2018,ARG,1.3E+11,60000000000,1.3E+11
Argentina,2019,ARG,1.3E+11,0,1.3E+11
Argentina,2020,ARG,1.3E+11,0,1.3E+11
Argentina,2021,ARG,1.3E+11,0,1.3E+11
Armenia,2008,ARM,0,0,0
Armenia,2009,ARM,0,0,0
Armenia,2010,ARM,0,0,0
Armenia,2011,ARM,0,0,0
Armenia,2012,ARM,0,0,0
Armenia,2013,ARM,0,0,0
Armenia,2014,ARM,0,0,0
Armenia,2015,ARM,1000000000,0,0
Armenia,2016,ARM,1000000000,0,0
Armenia,2017,ARM,1000000000,0,0
Armenia,2018,ARM,1000000000,0,0
Armenia,2019,ARM,0,0,0
Armenia,2020,ARM,0,0,0
Armenia,2021,ARM,0,0,0
Australia,2008,AUS,0,0,0
Australia,2009,AUS,0,0,0
Australia,2010,AUS,0,0,0
Australia,2011,AUS,0,0,0
Australia,2012,AUS,2E+11,0,0
Australia,2013,AUS,2E+11,0,0
Australia,2014,AUS,2E+11,0,0
Australia,2015,AUS,2E+11,0,0
Australia,2016,AUS,2E+11,0,0
Australia,2017,AUS,2E+11,0,0
Australia,2018,AUS,2E+11,0,0
Australia,2019,AUS,2E+11,0,0
Australia,2020,AUS,2E+11,0,0
Australia,2021,AUS,2E+11,0,0
Belarus,2008,BLR,0,0,0
Belarus,2009,BLR,20000000000,0,0
Belarus,2010,BLR,20000000000,0,0
Belarus,2011,BLR,20000000000,0,0
Belarus,2012,BLR,20000000000,0,0
Belarus,2013,BLR,0,0,0
Belarus,2014,BLR,0,0,0
Belarus,2015,BLR,7000000000,1000000000,1000000000
Belarus,2016,BLR,7000000000,0,0
Belarus,2017,BLR,7000000000,0,0
Belarus,2018,BLR,7000000000,0,0
Belarus,2019,BLR,7000000000,0,0
Belarus,2020,BLR,7000000000,0,0
Belarus,2021,BLR,7000000000,0,0
Brazil,2008,BRA,0,0,0
Brazil,2009,BRA,0,0,0
Brazil,2010,BRA,0,0,0
Brazil,2011,BRA,0,0,0
Brazil,2012,BRA,0,0,0
Brazil,2013,BRA,1.9E+11,0,0
Brazil,2014,BRA,1.9E+11,0,0
Brazil,2015,BRA,1.9E+11,0,0
Brazil,2016,BRA,1.9E+11,0,0
Brazil,2017,BRA,0,0,0
Brazil,2018,BRA,0,0,0
Brazil,2019,BRA,0,0,0
Brazil,2020,BRA,0,0,0
Brazil,2021,BRA,0,0,0
Canada,2008,CAN,0,0,0
Canada,2009,CAN,0,0,0
Canada,2010,CAN,0,0,0
Canada,2011,CAN,0,0,0
Canada,2012,CAN,0,0,0
Canada,2013,CAN,0,0,0
Canada,2014,CAN,2E+11,0,0
Canada,2015,CAN,2E+11,0,0
Canada,2016,CAN,2E+11,0,0
Canada,2017,CAN,2E+11,0,0
Canada,2018,CAN,2E+11,0,0
Canada,2019,CAN,2E+11,0,0
Canada,2020,CAN,2E+11,0,0
Canada,2021,CAN,2E+11,0,0
Chile,2008,CHL,0,0,0
Chile,2009,CHL,0,0,0
